holiday,temp,rain_1h,snow_1h,clouds_all,traffic_volume,weekday,hour,good_weather
0,288.28,0,0,40,5545,1,9,1
0,289.36,0,0,75,4516,1,10,1
0,289.58,0,0,90,4767,1,11,1
0,290.13,0,0,90,5026,1,12,1
0,291.14,0,0,75,4918,1,13,1
0,291.72,0,0,1,5181,1,14,1
0,293.17,0,0,1,5584,1,15,1
0,293.86,0,0,1,6015,1,16,1
0,294.14,0,0,20,5791,1,17,1
0,293.1,0,0,20,4770,1,18,1
0,290.97,0,0,20,3539,1,19,1
0,289.38,0,0,1,2784,1,20,1
0,288.61,0,0,1,2361,1,21,1
0,287.16,0,0,1,1529,1,22,1
0,285.45,0,0,1,963,1,23,1
0,284.63,0,0,1,506,2,0,1
0,283.47,0,0,1,321,2,1,1
0,281.18,0,0,1,273,2,2,1
0,281.09,0,0,1,367,2,3,1
0,279.53,0,0,1,814,2,4,1
0,278.62,0,0,1,2718,2,5,1
0,278.23,0,0,1,5673,2,6,1
0,278.12,0,0,1,6511,2,8,1
0,282.48,0,0,1,5471,2,9,1
0,291.97,0,0,1,5097,2,12,1
0,293.23,0,0,1,4887,2,13,1
0,294.31,0,0,1,5337,2,14,1
0,295.17,0,0,1,5692,2,15,1
0,295.13,0,0,1,6137,2,16,1
0,293.66,0,0,20,4623,2,18,1
0,290.65,0,0,20,3591,2,19,1
0,288.19,0,0,20,2898,2,20,1
0,287.1,0,0,1,2637,2,21,1
0,286.25,0,0,1,1777,2,22,1
0,285.26,0,0,1,1015,2,23,1
0,284.55,0,0,1,598,3,0,1
0,283.47,0,0,1,369,3,1,1
0,283.17,0,0,1,312,3,2,1
0,282.04,0,0,1,367,3,3,1
0,281.69,0,0,1,835,3,4,1
0,281.32,0,0,1,2726,3,5,1
0,280.74,0,0,1,5689,3,6,1
0,280.57,0,0,1,6990,3,7,1
0,281.86,0,0,1,5985,3,8,1
0,284.98,0,0,1,5309,3,9,1
0,289.18,0,0,1,4603,3,10,1
0,291.55,0,0,1,4884,3,11,1
0,294.97,0,0,1,5104,3,12,1
0,296.38,0,0,1,5178,3,13,1
0,297.32,0,0,1,5501,3,14,1
0,298.17,0,0,1,5713,3,15,1
0,298.06,0,0,20,6292,3,16,1
0,297.67,0,0,20,6057,3,17,1
0,296.36,0,0,40,4907,3,18,1
0,293.85,0,0,40,3503,3,19,1
0,292.43,0,0,40,3037,3,20,1
0,291.77,0,0,75,2822,3,21,1
0,291.36,0,0,75,1992,3,22,1
0,291.12,0,0,75,1166,3,23,1
0,290.63,0,0,75,627,4,0,1
0,290.46,0,0,40,388,4,1,1
0,289.26,0,0,0,368,4,3,1
0,283.21,0,0,75,2489,4,5,1
0,282.24,0,0,90,5537,4,6,1
0,281.69,0,0,90,6628,4,7,1
0,280.57,0,0,90,5534,4,8,1
0,280.02,0,0,75,5403,4,9,1
0,280.11,0,0,75,4770,4,10,1
0,280.0,0,0,90,5217,4,11,1
0,280.53,0,0,90,5870,4,12,1
0,281.43,0,0,75,5967,4,13,1
0,281.78,0,0,90,6108,4,14,1
0,281.91,0,0,90,6128,4,15,1
0,281.73,0,0,90,6069,4,16,1
0,281.42,0,0,90,6169,4,17,1
0,280.87,0,0,90,5384,4,18,1
0,280.15,0,0,90,4063,4,19,1
0,279.78,0,0,90,3364,4,20,1
0,279.65,0,0,75,2971,4,21,1
0,279.22,0,0,40,2450,4,22,1
0,279.06,0,0,40,1832,4,23,1
0,278.81,0,0,90,1231,5,0,1
0,278.55,0,0,90,718,5,1,1
0,278.59,0,0,90,545,5,2,1
0,276.99,0,0,75,411,5,4,1
0,276.35,0,0,20,688,5,5,1
0,275.4,0,0,1,1352,5,6,1
0,275.17,0,0,1,2072,5,7,1
0,274.99,0,0,1,3342,5,8,1
0,275.09,0,0,40,4258,5,9,1
0,276.88,0,0,20,4861,5,10,1
0,278.04,0,0,20,5191,5,11,1
0,279.08,0,0,40,5669,5,12,1
0,280.12,0,0,75,5074,5,13,1
0,280.25,0,0,75,5025,5,14,1
0,280.0,0,0,75,5153,5,15,1
0,279.06,0,0,90,5024,5,16,1
0,278.91,0,0,90,4779,5,17,1
0,278.39,0,0,90,4362,5,18,1
0,278.16,0,0,90,3860,5,19,1
0,278.16,0,0,90,3160,5,20,1
0,277.93,0,0,90,2992,5,21,1
0,276.9,0,0,90,3202,5,22,1
0,276.34,0,0,75,1941,5,23,1
0,276.11,0,0,75,1233,6,0,1
0,275.73,0,0,90,323,6,3,1
0,275.65,0,0,90,312,6,4,1
0,275.51,0,0,75,627,6,5,1
0,275.05,0,0,90,1508,6,6,1
0,274.77,0,0,90,1539,6,7,1
0,274.77,0,0,75,2232,6,8,1
0,275.55,0,0,75,4568,6,9,1
0,276.24,0,0,75,4624,6,10,1
0,277.01,0,0,90,4529,6,11,1
0,277.43,0,0,90,5139,6,12,1
0,278.45,0,0,90,6640,6,13,1
0,279.27,0,0,90,6589,6,14,1
0,279.27,0,0,90,4429,6,15,1
0,279.44,0,0,90,4329,6,16,1
0,279.32,0,0,90,3833,6,17,1
0,279.27,0,0,90,4015,6,18,1
0,278.11,0,0,90,3382,6,19,1
0,276.79,0,0,75,2815,6,20,1
0,275.73,0,0,90,2110,6,21,1
0,274.88,0,0,75,1555,6,22,1
0,273.92,0,0,20,959,6,23,1
1,273.08,0,0,20,455,0,0,1
0,272.62,0,0,20,336,0,1,1
0,271.78,0,0,1,265,0,2,1
0,271.05,0,0,1,314,0,3,1
0,270.63,0,0,1,779,0,4,1
0,270.33,0,0,1,2571,0,5,1
0,269.61,0,0,20,5563,0,6,1
0,270.01,0,0,20,6676,0,7,1
0,271.23,0,0,20,5966,0,8,1
0,273.71,0,0,20,4832,0,9,1
0,276.77,0,0,20,4395,0,10,1
